current_state,input_symbol,next_state,output

// english to hindi
1, ,1, 
1,k,2,
1,g,9,
1,~,10,
1,c,11,
1,C,12,
1,j,13,
1,T,14,
1,D,15,
1,N,3,ण
1,t,16,
1,d,17,
1,n,3,न
1,p,18,
1,b,19,
1,m,3,म
1,y,3,य
1,r,3,र
1,l,3,ल
1,v,3,व
1,s,20,
1,S,29,
1,h,3,ह
1,L,3,ळ
1,q,3,क़
1,K,3,ख़
1,G,3,ग़
1,z,3,ज़
1,f,3,फ़
1,w,3,व़
1,.,21,

21,D,22
21,N,1,ँ
21,m,1,ं
21,n,1,ं
21,h,1,्
21,a,1,ऽ
21,﷐,1,।

22,h,3,ढ़
22,﷐,3,ड़

20,h,3,श
20,﷐,3,स

19,h,3,भ
19,﷐,3,ब

18,h,3,फ
18,﷐,3,प

17,h,3,ध
17,﷐,3,द

16,h,3,थ
16,﷐,3,त

15,h,3,ढ
15,﷐,3,ड

14,h,3,ठ
14,﷐,3,ट

13,h,3,झ
13,﷐,3,ज

11,h,3,च

12,h,3,छ

10,N,3,ङ
10,n,3,ञ

9,h,3,घ
9,﷐,3,ग

2,h,3,ख
2,﷐,3,क


3,a,7,ा
7,a,1,
7,u,1,ौ
7,﷐,1,

3,A,1,ा
3,I,1,ि
3,i,1,ी
3,U,1,ू
3,u,1,ु
3,R,4,
4,^,5,
5,i,1,ृ

3,L,6,
6,^,7,

7,i,1,ै

3,E,1,े
3,o,1,ो
3,.,8,
3,﷐,1,
8,m,1,ं
8,n,1,ं
8,N,1,ँ
8,H,1,ः
8,h,1,्
8,c,1,ॅ
8,O,1,ॉ


1,a,23,
1,i,1,इ
1,I,1,ई
1,u,1,उ
1,U,1,ऊ
1,R,24,
1,L,26,
1,e,1,ए
1,^,27,
1,o,1,ओ
1,A,28,

1,O,30,

30,M,1,ॐ

29,h,3,ष

28,U,1,ऑ

27,e,1,ऎ
27,o,1,ऒ

26,L,27
27,i,1,ॡ
27,I,1,ऌ

24,R,25,
25,i,1,ऋ
25,I,1,ॠ

23,a,1,आ
23,i,1,ऐ
23.e,1.ऍ
23,u,1,औ
23,U,1,ॲ
23,﷐,1,अ

// hindi to engish

33, ,33, 
33,अ,33,a
33,आ,33,aa
33,इ,33,i
33,ई,33,I
33,उ,33,u
33,ऊ,33,U
33,ऋ,33,RRi
33,ॠ,33,RRI
33,ऌ,33,LLi
33,ॡ,33,LLI
33,ए,33,e
33,ऐ,33,ai
33,ऎ,33,^e
33,ऍ,33,ae
33,ऒ,33,^o
33,ओ,33,o
33,औ,33,au
33,ॲ,33,aU
33,ऑ,33,AU
33,ऽ,33,.a
33,ॐ,33,OM

33,क,32,k
33,ख,32,kh
33,ग,32,g
33,घ,32,gh
33,ङ,32,~N
33,च,32,ch
33,छ,32,Ch
33,ज,32,j
33,झ,32,jh
33,ञ,32,~n
33,ट,32,T
33,ठ,32,Th
33,ड,32,D
33,ढ,32,Dh
33,ण,32,N
33,त,34,t
33,थ,34,th
33,द,34,d
33,ध,34,dh
33,न,34,n
33,प,32,p
33,फ,32,ph
33,ब,32,b
33,भ,32,bh
33,म,32,m
33,य,32,y
33,र,32,r
33,ल,32,l
33,व,32,v
33,श,32,sh
33,ष,32,Sh
33,स,34,s
33,ह,32,h
33,ळ,32,L

33,क़,32,q
33,ख़,32,K
33,ग़,32,G
33,ज़,32,z
33,फ़,32,f
33,व़,32,w
33,ड़,32,.D
33,ढ़,32,.Dh

33,ा,33,A
33,ि,33,I
33,ी,33,i
33,ू,33,U
33,ु,33,u
33,ृ,33,R^i
33,ॢ,33,L^i
33,े,33,E
33,ै,33,ai
33,ो,33,o
33,ौ,33,au
33,ं,33,.m
33,ँ,33,.N
33,ः,33,H
33,्,33,.h
33,ॅ,33,.c
33,ॉ,33,.O
33,़,33, 
33,।,33,.
33,﷐,33,a
32,ा,33,A
32,ि,33,I
32,ी,33,i
32,ू,33,U
32,ु,33,u
32,ृ,33,R^i
32,ॢ,33,L^i
32,े,33,E
32,ै,33,ai
32,ो,33,o
32,ौ,33,au
32,ं,33,.m
32,ँ,33,.N
32,ः,33,H
32,्,33,.h
32,ॅ,33,.c
32,ॉ,33,.O
32,़,33,
32, ,33, 
32,।,33,.
32,﷐,33,a

34,ा,33,A
34,ि,33,I
34,ी,33,i
34,ू,33,U
34,ु,33,u
34,ृ,33,R^i
34,ॢ,33,L^i
34,े,33,E
34,ै,33,ai
34,ो,33,o
34,ौ,33,au
34,ं,33,.n
34,ँ,33,.N
34,ः,33,H
34,्,33,.h
34,ॅ,33,.c
34,ॉ,33,.O
34,़,33,
34, ,33, 
34,।,33,.
34,﷐,33,a

