current_state,input_symbol,next_state,output

33, ,33, 
33,अ,33,a
33,आ,33,aa
33,इ,33,i
33,ई,33,I
33,उ,33,u
33,ऊ,33,U
33,ऋ,33,RRi
33,ॠ,33,RRI
33,ऌ,33,LLi
33,ॡ,33,LLI
33,ए,33,e
33,ऐ,33,ai
33,ऎ,33,^e
33,ऍ,33,ae
33,ऒ,33,^o
33,ओ,33,o
33,औ,33,au
33,ॲ,33,aU
33,ऑ,33,AU
33,ऽ,33,.a
33,ॐ,33,OM

33,क,32,k
33,ख,32,kh
33,ग,32,g
33,घ,32,gh
33,ङ,32,~N
33,च,32,ch
33,छ,32,Ch
33,ज,32,j
33,झ,32,jh
33,ञ,32,~n
33,ट,32,T
33,ठ,32,Th
33,ड,32,D
33,ढ,32,Dh
33,ण,32,N
33,त,34,t
33,थ,34,th
33,द,34,d
33,ध,34,dh
33,न,34,n
33,प,32,p
33,फ,32,ph
33,ब,32,b
33,भ,32,bh
33,म,32,m
33,य,32,y
33,र,32,r
33,ल,32,l
33,व,32,v
33,श,32,sh
33,ष,32,Sh
33,स,34,s
33,ह,32,h
33,ळ,32,L

33,क़,32,q
33,ख़,32,K
33,ग़,32,G
33,ज़,32,z
33,फ़,32,f
33,व़,32,w
33,ड़,32,.D
33,ढ़,32,.Dh

33,ा,33,A
33,ि,33,I
33,ी,33,i
33,ू,33,U
33,ु,33,u
33,ृ,33,R^i
33,ॢ,33,L^i
33,े,33,E
33,ै,33,ai
33,ो,33,o
33,ौ,33,au
33,ं,33,.m
33,ँ,33,.N
33,ः,33,H
33,्,33,.h
33,ॅ,33,.c
33,ॉ,33,.O
33,़,33, 
33,।,33,.
33,﷐,33,a
32,ा,33,A
32,ि,33,I
32,ी,33,i
32,ू,33,U
32,ु,33,u
32,ृ,33,R^i
32,ॢ,33,L^i
32,े,33,E
32,ै,33,ai
32,ो,33,o
32,ौ,33,au
32,ं,33,.m
32,ँ,33,.N
32,ः,33,H
32,्,33,.h
32,ॅ,33,.c
32,ॉ,33,.O
32,़,33,
32, ,33, 
32,।,33,.
32,﷐,33,a

34,ा,33,A
34,ि,33,I
34,ी,33,i
34,ू,33,U
34,ु,33,u
34,ृ,33,R^i
34,ॢ,33,L^i
34,े,33,E
34,ै,33,ai
34,ो,33,o
34,ौ,33,au
34,ं,33,.n
34,ँ,33,.N
34,ः,33,H
34,्,33,.h
34,ॅ,33,.c
34,ॉ,33,.O
34,़,33,
34, ,33, 
34,।,33,.
34,﷐,33,a

